iter	Passed	Remaining
417	2652	3693
418	2657	3684
419	2661	3675
420	2665	3666
421	2670	3657
422	2674	3647
423	2678	3638
424	2682	3629
425	2686	3620
426	2691	3611
427	2695	3602
428	2699	3593
429	2704	3584
430	2708	3576
431	2713	3567
432	2717	3558
433	2722	3549
434	2726	3540
435	2730	3531
436	2734	3523
437	2739	3514
438	2743	3506
439	2748	3498
440	2753	3490
441	2757	3481
442	2762	3472
443	2766	3464
444	2771	3456
445	2775	3447
446	2779	3439
447	2783	3429
448	2787	3421
449	2792	3413
450	2796	3404
451	2800	3395
452	2805	3387
453	2809	3379
454	2813	3370
455	2818	3362
456	2822	3353
457	2826	3345
458	2831	3336
459	2835	3328
460	2839	3320
461	2843	3311
462	2848	3303
463	2852	3294
464	2856	3286
465	2860	3278
466	2864	3269
467	2869	3261
468	2873	3253
469	2877	3245
470	2882	3237
471	2886	3228
472	2890	3220
473	2894	3212
474	2899	3204
475	2903	3196
476	2908	3188
477	2912	3181
478	2916	3172
479	2921	3164
480	2925	3156
481	2929	3148
482	2933	3140
483	2938	3132
484	2942	3124
485	2947	3116
486	2951	3109
487	2956	3101
488	2961	3094
489	2965	3086
490	2970	3079
491	2974	3071
492	2979	3063
493	2983	3056
494	2988	3049
495	2994	3043
496	3007	3044
497	3016	3041
498	3024	3036
499	3036	3036
500	3044	3032
501	3049	3024
502	3065	3028
503	3071	3023
504	3077	3016
505	3082	3009
506	3087	3002
507	3094	2996
508	3099	2990
509	3105	2983
510	3110	2976
511	3115	2969
512	3120	2962
513	3133	2962
514	3139	2956
515	3145	2950
516	3152	2945
517	3159	2939
518	3165	2934
519	3171	2927
520	3177	2921
521	3184	2915
522	3189	2908
523	3193	2901
524	3198	2894
525	3203	2886
526	3208	2879
527	3212	2871
528	3216	2863
529	3221	2856
530	3225	2849
531	3229	2841
532	3234	2834
533	3239	2827
534	3244	2819
535	3248	2812
536	3253	2804
537	3257	2797
538	3261	2789
539	3266	2782
540	3270	2775
541	3275	2767
542	3279	2760
543	3284	2753
544	3288	2745
545	3292	2737
546	3296	2730
547	3300	2722
548	3305	2715
549	3309	2707
550	3313	2700
551	3317	2692
552	3322	2685
553	3326	2678
554	3331	2670
555	3335	2663
556	3339	2656
557	3343	2648
558	3347	2641
559	3351	2633
560	3356	2626
561	3360	2618
562	3364	2611
563	3368	2604
564	3373	2597
565	3377	2589
566	3381	2582
567	3385	2575
568	3389	2567
569	3394	2560
570	3398	2553
571	3403	2546
572	3407	2539
573	3411	2532
574	3415	2524
575	3419	2517
576	3424	2510
577	3428	2503
578	3433	2496
579	3437	2489
580	3441	2481
581	3445	2474
582	3450	2467
583	3453	2460
584	3458	2453
585	3462	2445
586	3466	2438
587	3470	2431
588	3474	2424
589	3478	2417
590	3483	2410
591	3487	2403
592	3491	2396
593	3495	2389
594	3499	2382
595	3504	2375
596	3508	2368
597	3512	2361
598	3517	2354
599	3521	2347
600	3525	2340
601	3530	2333
602	3534	2327
603	3538	2320
604	3543	2313
605	3547	2306
606	3551	2299
607	3556	2292
608	3560	2286
609	3564	2279
610	3569	2272
611	3573	2265
612	3577	2258
613	3581	2251
614	3585	2244
615	3589	2237
616	3593	2230
617	3598	2224
618	3602	2217
619	3606	2210
620	3610	2203
621	3614	2196
622	3618	2189
623	3622	2183
624	3627	2176
625	3631	2169
626	3636	2163
627	3640	2156
628	3645	2150
629	3649	2143
630	3654	2137
631	3659	2130
632	3663	2124
633	3668	2117
634	3673	2111
635	3677	2104
636	3681	2097
637	3685	2091
638	3690	2084
639	3694	2078
640	3698	2071
641	3703	2065
642	3707	2058
643	3712	2052
644	3717	2045
645	3721	2039
646	3725	2032
647	3729	2025
648	3733	2019
649	3737	2012
650	3741	2005
651	3745	1999
652	3749	1992
653	3753	1986
654	3758	1979
655	3762	1973
656	3767	1966
657	3771	1960
658	3776	1953
659	3780	1947
660	3784	1940
661	3789	1934
662	3793	1928
663	3798	1921
664	3802	1915
665	3807	1909
666	3811	1902
667	3816	1896
668	3820	1890
669	3826	1884
670	3832	1879
671	3838	1873
672	3843	1867
673	3849	1862
674	3854	1856
675	3859	1849
676	3864	1843
677	3869	1837
678	3874	1831
679	3879	1825
680	3884	1819
681	3889	1813
682	3895	1807
683	3900	1801
684	3904	1795
685	3909	1789
686	3913	1782
687	3918	1776
688	3922	1770
689	3927	1764
690	3931	1758
691	3936	1752
692	3941	1746
693	3946	1740
694	3951	1734
695	3956	1728
696	3961	1722
697	3965	1715
698	3970	1709
699	3975	1703
700	3979	1697
701	3984	1691
702	3988	1685
703	3993	1678
704	3997	1672
705	4002	1666
706	4006	1660
707	4010	1654
708	4015	1648
709	4020	1642
710	4024	1635
711	4029	1629
712	4033	1623
713	4037	1617
714	4041	1610
715	4045	1604
716	4049	1598
717	4053	1592
718	4057	1585
719	4062	1579
720	4066	1573
721	4070	1567
722	4075	1561
723	4079	1555
724	4083	1548
725	4087	1542
726	4092	1536
727	4096	1530
728	4100	1524
729	4105	1518
730	4109	1512
731	4113	1506
732	4117	1499
733	4122	1493
734	4126	1487
735	4130	1481
736	4134	1475
737	4138	1469
738	4142	1463
739	4147	1457
740	4151	1450
741	4155	1444
742	4159	1438
743	4163	1432
744	4168	1426
745	4172	1420
746	4176	1414
747	4181	1408
748	4186	1402
749	4190	1396
750	4195	1390
751	4199	1384
752	4204	1379
753	4208	1373
754	4213	1367
755	4217	1361
756	4222	1355
757	4226	1349
758	4230	1343
759	4235	1337
760	4239	1331
761	4243	1325
762	4247	1319
763	4251	1313
764	4256	1307
765	4260	1301
766	4264	1295
767	4268	1289
768	4272	1283
769	4277	1277
770	4281	1271
771	4285	1265
772	4289	1259
773	4294	1253
774	4298	1247
775	4303	1242
776	4307	1236
777	4312	1230
778	4317	1224
779	4321	1218
780	4326	1213
781	4330	1207
782	4334	1201
783	4343	1196
784	4349	1191
785	4354	1185
786	4359	1179
787	4363	1174
788	4368	1168
789	4373	1162
790	4378	1156
791	4382	1151
792	4387	1145
793	4392	1139
794	4400	1134
795	4406	1129
