iter	RMSE
211	164.9880801
212	164.8948054
213	164.7610382
214	164.6093799
215	164.5312219
216	164.3832958
217	164.2377617
218	164.1896651
219	164.0629262
220	163.9632128
221	163.8851973
222	163.7762451
223	163.6650274
224	163.5511155
225	163.4689415
226	163.3462934
227	163.2023056
228	163.0877222
229	162.9006821
230	162.7906481
231	162.7210031
232	162.5926705
233	162.5035462
234	162.3595342
235	162.2435693
236	162.117602
237	161.9971186
238	161.897231
239	161.7697444
240	161.6833076
241	161.613464
242	161.4462875
243	161.3571605
244	161.2862585
245	161.188721
246	161.0558091
247	160.9331428
248	160.8332885
249	160.7127122
250	160.628916
251	160.5246881
252	160.4490575
253	160.3812859
254	160.2925515
255	160.1556224
256	160.0418923
257	159.915024
258	159.8231809
259	159.6989059
260	159.6188593
261	159.4833605
262	159.4320399
263	159.3330605
264	159.2650978
265	159.1649631
266	159.0563284
267	158.9612006
268	158.8631636
269	158.8181505
270	158.7314101
271	158.644679
272	158.5857913
273	158.4788034
274	158.3984366
275	158.3085416
276	158.2101265
277	158.1355106
278	158.0502172
279	157.9156773
280	157.8364816
281	157.6844968
282	157.5974147
283	157.5248138
284	157.4218262
285	157.3382906
286	157.2462555
287	157.1826432
288	157.1488448
289	157.1114635
290	157.0342707
291	156.9969563
292	156.8658674
293	156.7880729
294	156.7136851
295	156.6408108
296	156.5604445
297	156.4328425
298	156.3430218
299	156.2057718
300	156.1189214
301	156.0261946
302	155.9893197
303	155.8892175
304	155.8108298
305	155.7474606
306	155.6658429
307	155.6128995
308	155.5311676
309	155.4400086
310	155.3452173
311	155.2443995
312	155.1659755
313	155.0797208
314	154.992305
315	154.8868586
316	154.7940276
317	154.6886881
318	154.608613
319	154.4987413
320	154.4286459
321	154.349027
322	154.2947131
323	154.2086212
324	154.1308104
325	154.0467012
326	153.9304253
327	153.8819526
328	153.8144951
329	153.745816
330	153.6530072
331	153.5345538
332	153.4468001
333	153.379171
334	153.3192427
335	153.2415315
336	153.1622501
337	153.0840864
338	153.0300286
339	152.918015
340	152.7893765
341	152.7305662
342	152.6528909
343	152.5847531
344	152.5017412
345	152.4668437
346	152.3853967
347	152.304628
348	152.202932
349	152.1385825
350	152.0848411
351	152.0503964
352	151.9760847
353	151.8800431
354	151.8117859
355	151.7232555
356	151.615119
357	151.5575191
358	151.5024742
359	151.4630137
360	151.3911097
361	151.3192579
362	151.2145538
363	151.1385567
364	151.0467609
365	151.0140255
366	150.927034
367	150.8692875
368	150.80361
369	150.7358844
370	150.6409258
371	150.5656349
372	150.485488
373	150.4230596
374	150.3346201
375	150.2379879
376	150.2104065
377	150.1391318
378	150.0788098
379	150.0279726
380	149.9006967
381	149.8264313
382	149.7525804
383	149.7078819
384	149.6414137
385	149.5816021
386	149.5223199
387	149.4463229
388	149.3723283
389	149.296597
390	149.2017128
391	149.1453035
392	149.0954969
393	149.0334173
394	148.9771947
395	148.9319967
396	148.8566746
397	148.8064037
398	148.7531441
399	148.6804517
400	148.6058343
401	148.5246255
402	148.4384739
403	148.4096367
404	148.3701709
405	148.2792136
406	148.2272408
407	148.1675429
408	148.1267552
409	148.0641683
410	148.0249261
411	147.9406539
412	147.8849097
413	147.8220844
414	147.757001
415	147.7216999
416	147.6686042
417	147.6385696
418	147.5187922
419	147.4626093
420	147.4049598
421	147.3231954
422	147.2910298
423	147.245199
424	147.1743786
425	147.1204369
426	147.0608944
427	146.998934
428	146.9357673
429	146.8568156
430	146.7998147
431	146.7177194
432	146.6799991
433	146.5714312
434	146.5328196
435	146.4705378
436	146.4017357
437	146.3553387
438	146.2950551
439	146.2228303
440	146.1473704
441	146.1125368
442	146.0435344
443	145.9742698
444	145.9334914
445	145.8594724
446	145.7782997
447	145.6865648
448	145.6046879
449	145.5477097
450	145.4910421
451	145.4377583
452	145.3770071
453	145.3303946
454	145.3087926
455	145.2875544
456	145.2232665
457	145.1601984
458	145.0864594
459	145.0479445
460	144.9944865
461	144.9437365
462	144.8638016
463	144.7834974
464	144.7070988
465	144.658824
466	144.5885287
467	144.525584
468	144.471706
469	144.4112348
470	144.3478375
471	144.2847986
472	144.2216065
473	144.1494886
474	144.0704302
475	144.0073135
476	143.9763
477	143.9319876
478	143.8766492
479	143.8203603
480	143.7610262
481	143.6983081
482	143.6502244
483	143.6072191
484	143.5650322
485	143.4892276
486	143.4132509
487	143.3430258
488	143.28314
489	143.2400962
490	143.1836193
491	143.1365623
492	143.0733161
493	143.0115242
494	142.9322516
495	142.8730578
496	142.8209935
497	142.771934
498	142.7469632
499	142.6900749
500	142.6152151
501	142.5806803
502	142.5191971
503	142.4794551
504	142.443714
505	142.3698744
506	142.3150703
507	142.2460174
508	142.2145972
509	142.1801496
510	142.1353701
511	142.0880496
512	142.0325441
513	141.9856225
514	141.9128817
515	141.8891172
516	141.839295
517	141.7888143
518	141.7371837
519	141.6950564
520	141.6143392
521	141.5211897
522	141.4541673
523	141.4043238
524	141.3682938
525	141.3110059
526	141.2611208
527	141.2010513
528	141.1487075
529	141.1151349
530	141.0543206
531	141.0033019
532	140.9264235
533	140.8556438
534	140.8045087
535	140.7469243
536	140.6937694
537	140.6602044
538	140.6077376
539	140.5697287
540	140.5404398
541	140.463871
542	140.4364107
543	140.3927566
544	140.325401
545	140.2794974
546	140.2465707
547	140.1611304
548	140.1170769
549	140.0396496
550	139.9720343
551	139.9416057
552	139.887431
553	139.8212897
554	139.7576798
555	139.6754934
556	139.6353121
557	139.6031853
558	139.5352956
559	139.4871046
560	139.4204939
561	139.3719101
562	139.3388301
563	139.2644176
564	139.202017
565	139.1608538
566	139.1277345
567	139.0821365
568	139.0526488
569	138.9979243
570	138.9677336
571	138.9065994
572	138.8525319
573	138.8046353
574	138.7626824
575	138.7255424
576	138.7006635
577	138.6378129
578	138.587677
579	138.524444
580	138.4597663
581	138.384088
582	138.3319509
583	138.2880444
584	138.2441171
585	138.1889742
586	138.1565615
587	138.1232292
588	138.0859416
589	138.034295
590	137.9764573
591	137.9248037
592	137.8590584
593	137.8296183
594	137.7685266
595	137.7050804
596	137.6534711
597	137.6165388
598	137.5801424
599	137.5503934
600	137.5214469
601	137.4815896
602	137.4503503
603	137.3961054
604	137.339561
605	137.2920299
606	137.24606
607	137.1937914
608	137.1448848
609	137.1162435
610	137.0887277
611	137.0587345
612	137.0032845
613	136.9728203
614	136.9419794
615	136.8954807
616	136.8562698
617	136.8173503
618	136.7532375
619	136.6968905
620	136.6748969
621	136.6349175
622	136.6141649
623	136.5914477
624	136.5492786
625	136.5186014
626	136.4471444
627	136.3779861
628	136.3204749
629	136.292518
630	136.2351905
631	136.1845242
632	136.142418
633	136.0769718
634	136.0353859
635	136.0091579
636	135.978114
637	135.9321349
638	135.8878251
639	135.8539832
640	135.8063663
641	135.7514282
642	135.725053
643	135.6560328
644	135.6065081
645	135.5673723
646	135.5222168
647	135.4759565
648	135.4406568
649	135.4044925
650	135.3666286
651	135.3365979
652	135.3009055
653	135.2600723
654	135.2116103
655	135.1695577
656	135.1226646
657	135.0699428
658	135.0112055
659	134.9735686
660	134.9253803
661	134.8891843
662	134.8431111
663	134.7803856
664	134.7378133
665	134.6931318
666	134.6486365
667	134.601019
668	134.5552422
669	134.5139917
670	134.4639717
671	134.4256719
672	134.3845682
673	134.3217479
674	134.2892579
675	134.2325109
676	134.2087496
677	134.1729945
678	134.1372048
679	134.0861136
680	134.0519999
681	134.0089929
682	133.974131
683	133.9544395
684	133.9196762
685	133.8825425
686	133.8557001
687	133.8149995
688	133.7659989
689	133.687195
690	133.6635197
691	133.6346242
692	133.5950637
693	133.5576607
694	133.5182202
695	133.456776
696	133.4249525
697	133.3817054
698	133.3408947
699	133.2666084
700	133.2326315
701	133.1806969
702	133.140343
703	133.1093254
704	133.0644512
705	133.0302174
706	132.9893186
707	132.9570164
708	132.8926542
709	132.8518744
710	132.802498
711	132.7568487
712	132.734625
713	132.6976174
714	132.6612954
715	132.6232659
716	132.571377
717	132.5214591
718	132.4857742
719	132.4355608
720	132.4010344
721	132.3675361
722	132.3290027
723	132.2842017
724	132.2613666
725	132.2219378
726	132.1735453
727	132.148757
728	132.0936027
729	132.059779
730	132.0247675
731	131.9794751
732	131.9488499
733	131.9234994
734	131.8897794
735	131.8491936
736	131.8115176
737	131.7629492
738	131.7278996
739	131.686274
740	131.657773
741	131.6198671
742	131.5821559
743	131.5405837
744	131.495944
745	131.4596085
746	131.4428222
747	131.4048838
748	131.3564017
749	131.3041411
750	131.2640248
751	131.1867513
752	131.1550877
753	131.1074751
754	131.0664519
755	131.0343946
756	130.9964883
757	130.9588469
758	130.9269669
759	130.8645444
760	130.8281926
761	130.8051574
762	130.7771412
763	130.7449189
764	130.695114
765	130.6709479
766	130.6328452
767	130.5981412
768	130.5575469
769	130.5174404
770	130.5018016
771	130.4638414
772	130.4146915
773	130.381453
774	130.3570965
775	130.3102453
776	130.2850563
777	130.2412958
778	130.2027981
779	130.1693203
780	130.1353406
781	130.0956633
782	130.0360605
783	129.9630016
784	129.935275
785	129.9206189
786	129.8753903
787	129.8295601
788	129.8012572
789	129.7554415
790	129.7223476
791	129.6739602
792	129.638326
793	129.5854043
794	129.543214
795	129.531779
796	129.492041
797	129.4620504
798	129.4200342
799	129.3755758
800	129.3537817
801	129.3279347
802	129.3056771
803	129.2588227
804	129.199838
805	129.17102
806	129.1299116
807	129.1091643
808	129.0487319
809	129.026387
810	128.9970143
811	128.9605912
812	128.918177
813	128.8775678
814	128.8279075
815	128.7886516
816	128.735552
817	128.7090693
818	128.6858385
819	128.6097198
820	128.5611468
821	128.5273702
822	128.4982347
823	128.4557443
824	128.4101851
825	128.362225
826	128.3398782
827	128.3157741
828	128.2743725
829	128.2359937
830	128.2088997
831	128.1493711
832	128.108922
833	128.0796091
834	128.0510682
835	128.0257726
836	127.9992791
837	127.9666159
838	127.9384941
839	127.9063109
840	127.8659759
841	127.8481004
842	127.8054917
843	127.7479636
844	127.7177011
845	127.701155
846	127.6667221
847	127.6327396
848	127.603399
849	127.5746364
850	127.527895
851	127.5065738
852	127.4504811
853	127.4306771
854	127.3971331
855	127.3717859
856	127.3219458
857	127.2720359
858	127.236954
859	127.2056715
860	127.1664664
861	127.121104
862	127.0942875
863	127.0374943
864	127.0181984
865	126.9868822
866	126.9558209
867	126.8981942
868	126.8767363
869	126.841629
870	126.8000428
871	126.7527051
872	126.7062536
873	126.651055
874	126.6115599
875	126.5848155
876	126.5411635
877	126.5227938
878	126.4968404
879	126.4696893
880	126.4387032
881	126.4089574
882	126.3669637
883	126.310093
884	126.2681297
885	126.2230857
886	126.1966858
887	126.159224
888	126.119366
889	126.0795925
890	126.0577074
891	126.0126538
892	125.9833612
893	125.9499307
894	125.90799
895	125.8691166
896	125.8480565
897	125.8240902
898	125.7912359
899	125.7680256
900	125.7376556
901	125.7081414
902	125.6830162
903	125.6537252
904	125.6029079
905	125.583632
906	125.5650251
907	125.5477536
908	125.5232442
909	125.4877359
910	125.4546841
911	125.4347736
912	125.3924492
913	125.3621941
914	125.3290254
915	125.3096025
916	125.2741428
917	125.249596
918	125.2230116
919	125.1621234
920	125.144656
921	125.0734629
922	125.0439951
923	125.0069877
924	124.9701068
925	124.9312082
926	124.8907492
927	124.8446883
928	124.8306191
929	124.7834918
930	124.754508
931	124.7168549
932	124.7017041
933	124.663186
934	124.6299902
935	124.5785251
936	124.5334228
937	124.5014764
938	124.4480289
939	124.4207303
940	124.4016436
941	124.3837661
942	124.3475818
943	124.3155093
944	124.2691356
945	124.2523991
946	124.2356787
947	124.1922019
948	124.1620774
949	124.1326366
950	124.0921514
951	124.0631954
952	124.0071277
953	123.9825898
954	123.9483794
955	123.9251079
956	123.892352
957	123.8658791
958	123.8383242
959	123.8184052
960	123.778726
961	123.7397848
962	123.7136275
963	123.6890264
964	123.6680865
965	123.6391689
966	123.6088414
967	123.5742865
968	123.533698
969	123.5203458
970	123.5120644
971	123.5001181
972	123.457865
973	123.4323893
974	123.4030166
975	123.3629016
976	123.3355503
977	123.2858621
978	123.2625599
979	123.2070733
980	123.1859405
981	123.1460692
982	123.1085378
983	123.0874741
984	123.0406048
985	122.9940011
986	122.9729536
987	122.9312785
988	122.9052687
989	122.8712781
990	122.8455326
991	122.8093446
992	122.7764193
993	122.7342672
994	122.7085064
995	122.6775676
996	122.6471633
997	122.622441
998	122.5948131
999	122.5615303
